MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq. Ft.,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank
1459886,329059.0,2021-03-19,734 E Rio Grande ST,80903,1547.0,7437.0,38.8243774,-104.81167640000001,Sand Creek High School,NaN,Sabin Middle School,5,Chinook Trail Elementary School,NaN
7861790,330000.0,2021-03-23,39 S Hayman AV,80910,1548.0,8920.0,38.8311657,-104.7776757,Doherty High School,NaN,Horizon Middle School,1,Falcon Elementary School Of Technology,NaN
4896188,330000.0,2021-03-09,4940 Dover DR,80916,1764.0,9016.0,38.8002472,-104.7360292,Odyssey Early College And Career Options,NaN,Fountain Middle School,1,Ranch Creek Elementary,NaN
9502920,330000.0,2021-03-18,6825 Los Reyes CR,80918,1930.0,1188.0,38.931255,-104.781246,Palmer High School,NaN,Castle Rock Middle School,3,Edith Wolford Elementary School,NaN
1572575,330000.0,2021-03-15,403 Pucket CR,80911,1351.0,6578.0,38.7456258,-104.7351177,Sierra High School,NaN,Russell Middle School,2,Chinook Trail Elementary School,NaN
2082264,332000.0,2021-03-18,2818 Virginia AV,80907,1119.0,6780.0,38.871493,-104.8069545,Achieve Online,NaN,Fountain Middle School,2,Lewis-Palmer Elementary School,NaN
8646832,334000.0,2021-03-12,155 Cherry CR,80817,1800.0,6275.0,38.684103,-104.70923549999999,Mesa Ridge High School,NaN,North Middle School,2,Summit Elementary School,NaN
5751005,335000.0,2021-03-19,407 High Pasture RD,80816,1408.0,175546.8,38.8596098,-105.2661331,Colorado Springs Early Colleges,NaN,Skyview Middle School,NaN,Columbine Elementary School,NaN
2125665,335000.0,2021-03-12,493 Pucket CR,80911,1333.0,6018.0,38.7450835,-104.7327936,NaN,NaN,Janitell Junior High School,2,Mountain View Elementary School,NaN
8385606,335000.0,2021-03-12,878 Rancher DR,80817,1603.0,6381.0,38.6656122,-104.67770870000001,Career Readiness Academy,NaN,Skyview Middle School,2,Antelope Trails Elementary School,NaN
7061767,335000.0,2021-03-15,4086 Morley CR,80916,2160.0,7000.0,38.7938152,-104.75184329999999,Career Readiness Academy,NaN,Mountain Ridge Middle School,1,Howbert Elementary School,NaN
9717927,335000.0,2021-03-17,7555 Forest Meadows AV,80908,1561.0,1716.0,38.9452759,-104.6843782,Rampart High School,NaN,Horizon Middle School,3,The Da Vinci Academy School,NaN
9371338,336000.0,2021-03-22,4590 Newton DR,80916,1756.0,8054.0,38.7898414,-104.7430422,Colorado Springs Early Colleges,NaN,Russell Middle School,4,NaN,NaN
2175502,336000.0,2021-03-15,4274 Morley DR,80916,1851.0,8100.0,38.7962367,-104.7504304,Power Technical Early College,NaN,Skyview Middle School,1,Antelope Trails Elementary School,NaN
4683416,336000.0,2021-03-10,8896 Bella Flora HT,80924,1363.0,1703.0,38.960276,-104.7282005,James Irwin Charter High School,NaN,Falcon Middle School,4,Edith Wolford Elementary School,NaN
3149468,337000.0,2021-03-15,1109 Arch ST,80904,1040.0,7100.0,38.8369948,-104.8653805,Vista Ridge High School,NaN,Skyview Middle School,3,Gold Camp Elementary School,NaN
2371660,338000.0,2021-03-23,1224 Aspen AV,80905,2002.0,7658.0,38.80328739999999,-104.8043558,Vista Ridge High School,NaN,The Classical Academy Middle School,5,Queen Palmer Elementary School,NaN
4194362,338000.0,2021-03-19,919 Bennett AV,80909,1304.0,5000.0,38.84613299999999,-104.78023979999999,Atlas Preparatory High School,NaN,Watson Junior High School,1,Grant Elementary School,NaN
7163827,339000.0,2021-03-15,260 E Minstrel DR,80814,1379.0,17860.0,38.9296793,-105.1737554,The Vanguard School (High),NaN,Skyview Middle School,NaN,Aragon Elementary School,NaN
4658013,339000.0,2021-03-11,20975 Jones RD,80831,1404.0,130680.0,38.8958104,-104.4372066,Power Technical Early College,NaN,James Irwin Charter Middle School,NaN,Audubon Elementary School,NaN
1324278,340000.0,2021-03-19,2134 Birmingham LP,80910,1692.0,1349.0,38.80370120000001,-104.7863878,Eastlake High School Of Colorado Springs,NaN,Fox Meadow Middle School,NaN,NaN,NaN
2456395,340000.0,2021-03-26,2718 Dickens DR,80916,1200.0,6011.0,38.7935889,-104.73648490000001,Power Technical Early College,NaN,Skyview Middle School,4,Aragon Elementary School,NaN
